F_4C_1_1	F_4C_1_2	F_4C_1_3	F_4C_1_4	F_4C_2_1	F_4C_2_2	F_4C_2_3	F_4C_2_4	F_4C_3_1	F_4C_3_2	F_4C_3_3	F_4C_3_4	F_4C_4_1	F_4C_4_2	F_4C_4_3	F_4C_4_4	PS_4C_1_1	PS_4C_1_2	PS_4C_1_3	PS_4C_1_4	PS_4C_2_1	PS_4C_2_2	PS_4C_2_3	PS_4C_2_4	PS_4C_3_1	PS_4C_3_2	PS_4C_3_3	PS_4C_3_4	PS_4C_4_1	PS_4C_4_2	PS_4C_4_3	PS_4C_4_4	PS_4C_5_1	PS_4C_5_2	PS_4C_5_3	PS_4C_5_4
Trhde	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eda2r	0	0	0	0	0.25	0	0	0	0	0	0.25	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0
Asz1	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Batf	0	0	0	0.25	0	0	0	0	0.25	0	0	NA	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0
Guf1	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep131	0.25	0.25	0	0.25	0	0	0	0	0	0	0.25	NA	0.25	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep135	0.25	0.5	1	0.5	0.25	0.75	0.75	0	0.25	0.5	0.5	NA	0.5	0.75	0.75	0.75	0.25	0	0.25	0.25	0.5	0.5	0	0	0.5	0.75	0.75	1	0.5	0	0.75	0.25	0	0.5	0.5	0.75
Arrb2	0	0	0	0	0	0	0	0.5	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arrb1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hlf	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BB283400	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12505	0.5	0.25	0.5	0.5	0	0	0	0.25	0.5	0.25	0.5	NA	1	0.75	0.5	0.5	0.25	NA	0	0	0.5	0	1	0	0.5	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.5	0.25
Gm12504	0.5	0.75	0.5	0.75	0.25	0.25	1	0.5	0.75	0.75	0.25	NA	0	0.25	0.25	0	0	0.75	0	0.25	0.25	0.75	0.5	0.5	0.25	0	0.25	0.75	0.25	0.75	0.75	0.5	0.5	0.5	0.5	0.5
Pnpo	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0
Hgd	0	0	0	0	0.5	0	0	0.25	0	0.25	0.25	NA	0	0	0.25	0	0.25	0.5	0	NA	0.5	0.5	0.25	0.25	0	0	0.5	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25
Pyy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem233	0	0	0	0	0.75	0.5	0.5	0.5	0	0	0	NA	0	0	0	0	0.75	0.75	0.5	NA	0.25	0.5	0.75	0.75	0	0.25	0.25	0.25	0	0.25	0.25	0	0.5	0.25	0.75	0.5
Cnot11	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clec4n	1	0	0	1	NA	1	0.25	0.75	0.5	0	1	NA	0	0	0.25	0.75	0.75	0	NA	1	0	0.25	0	0	0	0.25	0.25	0.5	0.25	0	0	NA	0.5	0	0	NA
Pnp2	0	0.25	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0.25	NA	0	1	0.25	0	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0
1700019G24Rik	1	0.5	0.5	0.5	0	0.5	0.5	0.25	0.5	0.25	0.75	NA	0.5	1	0.25	0.5	0	0.25	0	0.75	0.25	0.25	0.5	0.5	0.5	0.5	0.5	0.25	NA	1	0.75	0.25	0.5	0.5	0.75	0.5
Cnot10	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap2a1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0
Ap2a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhdc4	0	0	0	0	0	0	0	0	0	0.25	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhdc2	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhdc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhdc1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clec4f	0	0.25	0	0	0.25	0	0	0	0	0	0	NA	0	0	0.25	0	0.75	1	0.25	0.5	0	0.5	0	0.25	0	0.25	0	0.25	0	0.25	0	0.25	0.5	0	0.25	0.25
1700086L19Rik	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccer1	0	0	0	0.5	0	0	0.25	0	0	0	0	NA	0	0.25	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Mga	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6820408C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mgp	0.75	0.75	0.5	0.5	0.5	0.25	0.25	0.25	1	0.75	0.75	0	0	0.25	0	0.25	1	1	0.75	0.5	0.5	0.5	0	0.25	0.75	0.5	0.25	0.5	0.75	0.75	0.75	1	0.75	0.75	1	0.75
Gm13363	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrgbp	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snora81	1	0.25	0.75	0.25	0.5	0.5	0.5	0	0.5	0	0.5	NA	0.25	0.25	0.5	0	0.75	0.75	1	0.5	1	0.5	0.75	0.5	0.5	0.75	0.5	0.75	0.5	0.75	0.5	0.5	0	NA	0.5	0.25
4930519F24Rik	0.25	0.75	0.25	0	0	0.5	0	NA	0.5	0.25	0.5	NA	0.25	0	0	0	1	0.75	0.75	0	0.25	0.5	0.5	0.5	0.25	0	0.25	0	0.75	0.5	0.75	0.25	1	0	0.5	0.25
Smc1a	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
Smc1b	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0.25	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0
Slmap	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actl11	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0
Actl10	0.5	0.75	0.5	0.5	0.25	0.25	0.75	0.25	0.5	0.25	0.5	NA	0.5	0.75	0.5	0.5	0.5	0.75	0.75	0.5	0.25	0.25	0.5	0.25	0.5	0.5	0.5	0.5	0.5	0.25	0.25	0.5	0.5	0.25	0.5	0.25
Gm5725	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0	NA	NA	NA	NA	1	NA	NA	NA	NA	0	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA
Gm5726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm5728	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	1	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fam173b	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adh6-ps1	0	NA	0.25	0	0	0	0	0	0	0	0	NA	0.25	0	0	0	1	NA	0	0	0.25	0	NA	NA	0.5	0.25	0	0	0	0	0.25	NA	0	0.25	0	0
Fam173a	0.25	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alg10b	0	0	0	0	0	0	0.5	0	NA	0	0	0	0	0	0	0	0	NA	0.25	0	0	1	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0
Phf8	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf6	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0
Phf7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0
Phf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf3	0.25	0.75	0.5	0.25	0.25	0.25	0	0.25	NA	0.25	0	NA	0	0.25	0.25	0.25	0	1	0.5	NA	0	0.25	0	0	NA	0	0.5	0.25	0	0	1	0	0	0.25	1	0.5
Phf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0
Ptrhd1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aknad1	0.25	0	0	0	0	0.25	0	0	0	0.25	0	NA	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sema4d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pla2g12b	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pla2g12a	0	0	0.25	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0.25	0	0	0.25	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0
Mir669p-1	NA	0.5	0	0	0	0	1	0	NA	NA	NA	NA	0	0	0	0	0	0.25	0	NA	0	NA	0.25	NA	1	0.75	0.5	NA	1	0	1	1	0.75	0.25	NA	0.25
Gm3893	0.25	0.25	0.25	0.25	0	0	0.5	0	0.25	0.25	1	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0
Ghrhr	0	0	0	0	0.25	0.25	0	0.25	0	0	0	NA	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933402J15Rik	0	0.25	0.25	0	1	0	0	0	0.25	0.25	0.5	NA	NA	0.25	0	0.75	0	NA	0.5	0	0	0.75	0	0.25	1	0.25	0.25	1	0	0.75	0.25	0.25	0	0	0	0.25
Pdia6	0	0	0	0	0	0	0	0	0.25	0	0	NA	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdia5	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otc	NA	0.25	0	0	0	0.25	NA	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0.5	0	0	0	0	NA	0	0	0	NA	0
Pdia3	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdia2	0.75	0.75	0.25	0	0.5	0.25	0.25	0.25	0.5	0.5	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.5	0.5	0.25	0.25	0.25	0.5	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.25
Tmem119	0	0.25	0	0	0.25	0	0	0	0.25	0.25	0	NA	0	0.25	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.75
Zfa-ps	0.25	0	0	0.25	0	0.25	0.5	0.25	0	0.25	0	NA	0.25	0	0	0	0	0	0	0	0.75	1	0.25	0.25	0.25	0.25	0	0.25	0	0.25	0.5	1	0.5	0.25	0.25	0.5
Otp	0	0	0	0	0	0	0	0	0.25	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3763	1	NA	0	NA	NA	NA	0	0.25	0	0.5	NA	NA	NA	NA	0.5	NA	NA	0.75	0	NA	0.5	NA	0.5	NA	0.25	0.5	NA	0.5	0	0.25	NA	0	NA	0	NA	0
Ott	0.25	0.25	0.25	0.5	0	0.25	0.5	0.75	0	0.25	0	NA	0.25	1	0.25	0.25	0.25	0.25	0.25	0.5	0.5	0	0	0.25	0.25	0.5	0	0.25	0	0.5	0.25	0.5	0.5	0	0.25	0.25
Tmem115	0.25	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem117	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0
Spata13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata17	0	0.5	0.25	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0.5	0	0	0	0.25	0	0.25	0	0.25	0
Spata16	0	0	0	0	NA	NA	0	0	0	0	0	NA	NA	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Sft2d3	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sft2d2	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sft2d1	0.25	0.25	0.25	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0
Spata18	0	0	0	0.25	0	0.5	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcer1g	0.5	0.75	0.75	0.75	0.5	0	1	0.25	0.75	0.75	0.5	NA	0.25	0.25	0.75	0.75	0.5	0.5	0.75	0.25	1	1	0.75	1	0.5	0.5	0.75	0.5	0.5	0.5	0.75	0.5	0.75	0.75	0.75	0.5
Fcer1a	0.5	1	0.5	0.5	0	0	NA	0	0.25	0	NA	NA	0	0	NA	0	1	NA	0.75	0	0.25	0	0.25	0.5	0.25	0.5	NA	0.25	0	NA	0.5	0	0.5	0	NA	0.25
Hist1h3b	0.25	0	0	0	0	0	0	0	0.25	0	0	NA	0	0.25	0	0	NA	0	0	NA	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
1700009J07Rik	0.25	0	0.25	0.25	0	0	0	0	0	0	0	NA	0	0	0	0	0	0.25	0.25	0	0	0.25	0.25	0.25	0.25	0	0	0	0.25	0	0.25	0	0	0	0.25	0.25
Hist1h3a	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hist1h3f	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0
Hist1h3g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hist1h3d	0	NA	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kprp	0	0.25	0	0	0.25	0	1	0.25	0.5	0	0	NA	0.5	0	0	0	0	NA	1	NA	0	0	0.25	0	1	0.25	NA	0.75	0	0	0	0	0	0.75	0	0
Hist1h3h	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hist1h3i	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lemd3	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sarm1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lemd1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc9a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc9a5	0	0	0.25	0	0	0	0	0	0	0.25	0.25	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phtf1	0	0	0	0.25	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capn7	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capn6	0	0	0	0	0	NA	0.25	0	0	NA	0	0.5	0.25	0	0	0	0	1	0	0	0	0	0	0	0.25	0	0.25	0.25	0.25	0.75	NA	0.25	0	0	0	0.25
Capn5	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.5	0	0.25	0	0	0.25	0	0	0	0	0	0	0.25	0	0.25	0	0	0
Slc9a7	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0
Capn3	0.5	0.5	0.5	0.5	0.25	0.25	0.25	0.25	0.5	0.75	0.25	0	0.25	0.5	0.5	0.75	0.5	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.75	0.25	0.25	0.25	0.25	0.25	0	0.25
Capn2	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm8989	0	0	0	0	0	NA	1	1	NA	0.25	0.5	NA	NA	0.25	NA	0	0	NA	0.75	NA	0.5	0	0	0.25	0	0.25	0.25	1	NA	NA	1	1	NA	0	NA	NA
Gm2382	0.25	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0
Gm2381	0.75	0.75	0.75	0.75	0.25	0.5	0.75	0.25	0	0.75	0.5	NA	0.5	0	0.5	0.75	0	NA	NA	0	1	0.25	0.75	1	0.25	0.25	0.5	0.25	0.25	0.5	0.25	0.75	0.25	0.75	0.75	0.25
Cyp2b23	0	0.75	1	0.75	1	0.25	NA	1	1	0.25	1	NA	0	0.5	0.5	0.25	NA	1	1	0.5	0	0.25	0	0.5	0.5	1	0.75	0.5	0.5	NA	0.75	1	1	NA	0.5	1
Capn8	0	0	0	0.25	0	0	0	0	0.25	0	0	NA	0	0	0	0	0	0.25	0.25	0	0.25	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0
4931406H21Rik	0.75	1	0.75	0.5	0.5	0.75	0.5	0.75	0.75	0.75	1	NA	1	0.75	0.75	0.75	1	0.75	0.25	0.5	1	1	0.5	0	0.75	0.75	0.75	0.5	0.75	0	0.75	0.5	0.75	0.5	0.5	0.75
Tas2r130	0.5	NA	0.25	0.5	0	0	NA	0.75	0.5	NA	0	NA	0	0	0	0	0	0	0	1	0	NA	0	0	NA	0	0	1	0	1	0.25	1	NA	0	0.75	NA
Tas2r131	0	0	NA	0	NA	0	0	0	0.5	NA	0.75	NA	0	0	0	0	0	0.25	0	NA	0.5	0	0.5	0	1	0.75	0.5	NA	1	NA	1	1	0	0	0	1
Tas2r134	0	0	NA	0.25	0.5	0.25	0	0	NA	0.25	0	NA	0.25	0.25	0	0.25	0.25	0.25	1	0.5	0.25	0.25	0	0	0	0	0	0.25	0.5	0	0.5	0	0.5	0.75	NA	0.75
Tas2r135	0.25	0	0	0	0	0	0.5	0.25	0	0	0	NA	0	0	0	0.25	NA	0.25	0.75	1	0.25	0.25	0	0.5	0.5	0	0.25	0.25	0.25	0.25	0.5	0.5	0.25	0.75	0.25	0
Tas2r136	0	0.25	NA	0	1	0	NA	NA	0	0.5	1	NA	0	0	NA	NA	NA	0.5	0	NA	NA	0	0.75	0	NA	0	0	NA	NA	1	NA	1	NA	1	NA	NA
Tas2r137	0.25	0.25	0.5	0.5	0.25	0.5	NA	0	0.5	0.5	0.25	NA	0.25	0.25	0.25	0.25	0.75	0.75	0	1	0.5	0.5	0.5	0.75	0.5	0.5	0	0.5	0	0	0.75	1	0.5	0	0.75	0.75
Tas2r138	0.5	0.5	0.5	0.75	1	1	0.75	0.75	0.5	0.75	0.75	NA	0.75	1	0.75	0.75	0.5	1	0.25	NA	0.5	0.75	0.75	0.5	0.5	0.75	0.75	0.75	0.75	0.75	0.75	0.25	0.75	0.25	0.75	1
Tas2r139	0.25	NA	0.75	0	0	1	0.25	0.25	0	0.25	0.25	NA	0	0.5	0.25	0	0	1	1	0	0	1	0.25	NA	1	0.25	0.75	0	0.5	NA	0.75	1	0	0.25	0.25	0
Chac2	0	0	0	0	0.25	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chac1	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0.5	0	0.5	0	0	0.25	0.25	0	0	0	0	0	0.5	0.5	0.5	0	0	0	0.25	0.25	0.25	0	0.25	0.25	0	0	0	0.25
Gm8677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nkx2-2os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir3073b	0.25	0.5	0	0.25	0	0	0.25	0	0.5	0	0	NA	0	0	0	0	0.25	0	0.25	0.25	0.25	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0.25	0.5	0	0.25
Oacyl	0.25	0.25	0.25	0	0	0	0.25	0	0.25	0.25	0.25	1	0.5	0.25	0.25	0.25	0	NA	0	0	0	0	0	0.5	0.5	0.25	0.5	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0	0.25
Zrsr1	0.75	0.5	0.75	0.25	0	0.25	0.25	0.25	0.25	0.75	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.25	1	0	0.75	0.5	0.5	0.5	0.5	1	0.75	0.5	0.5	0.5	0.5	0.25	0	0.5	0.5
Zrsr2	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0
Spdl1	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tesc	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf3a	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gmpr2	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aanat	0.5	1	1	0.75	0.5	0.75	0.75	0.75	0.5	0.75	0.5	NA	0.75	0.75	0.75	0.5	0.75	0.5	0.75	0.75	0.75	0.75	1	1	0.75	0.5	0.75	0.5	0.25	0.75	0.5	0.5	0.75	0.75	0.75	0.75
Dyx1c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dpyd	0	0	0	0	0	0	0	0	0	0	0.25	NA	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0	0.25	0.25	0	0
Serf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serf2	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dpys	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25
Hsfy2	0.5	0.5	0.75	0.75	1	1	0	0.5	0.5	0	0.25	NA	0.25	0.75	0.25	0.5	0.5	0.5	0.5	0	1	0.75	1	0.5	0.25	0	NA	NA	0.75	0	0.5	0.5	0.25	0	1	0.25
