MII_1_ratio	MII_2_ratio	MII_3_ratio	MII_4_ratio	MII_5_ratio	MII_6_ratio	MII_7_ratio	MII_8_ratio	MII_9_ratio	MII_10_ratio	MII_11_ratio	MII_12_ratio	MII_Bulk_ratio	X2i_1_ratio	X2i_2_ratio	X2i_3_ratio	X2i_4_ratio	X2i_5_ratio	X2i_6_ratio	X2i_7_ratio	X2i_8_ratio	X2i_9_ratio	X2i_10_ratio	X2i_11_ratio	X2i_12_ratio	X2i_Bulk_ratio	Ser_1_ratio	Ser_2_ratio	Ser_3_ratio	Ser_4_ratio	Ser_5_ratio	Ser_6_ratio	Ser_7_ratio	Ser_8_ratio	Ser_9_ratio	Ser_10_ratio	Ser_11_ratio	Ser_12_ratio	Ser_13_ratio	Ser_14_ratio	Ser_15_ratio	Ser_16_ratio	Ser_17_ratio	Ser_18_ratio	Ser_19_ratio	Ser_20_ratio	Ser_Bulk_ratio	MII_2D_ratio	MII_5D_ratio
Pik3ap1	0	0	0	0	0	NA	0	0	0.5	0.25	0	0	0	1	0	0.25	1	0.25	0.25	0	0	0	0.25	NA	0	0	0.75	0.25	0	0.25	0.25	0	0.75	0.25	0.25	0.25	1	0.25	0.25	0.25	0.25	0.25	1	0.5	0.75	0.25	0.5	0	0
AI847159	0	0	0	0	0	0	NA	0	0	NA	NA	0	0	NA	0.5	0.5	NA	0	0	0.25	0	0.25	0	NA	0	0	NA	0.75	0	0.5	0.75	0	0	NA	0.5	0.25	1	0	0	0.25	0.5	0.5	0.75	NA	0.25	0.5	0.25	0	0
Ppp1r7	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	NA	0	0	0.5	0.25	0	0	0	0	NA	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0
Ppp1r2	0	0	0	0	0.75	0	0	0	0	0	0	0	0	NA	0.25	0	0	0	0	0	0	0	0.25	0.25	NA	0	0.25	0.5	0	0.25	0.25	0.25	0	0.75	0	0	0	NA	NA	0.25	0.75	0.5	0.5	0.5	0	0.75	0.25	0.25	0
Ppp1r8	NA	NA	0	NA	0	0	NA	NA	0.25	NA	1	0	0	0	0.25	0.75	0.75	0	0.5	0.5	0.25	0.25	0.5	1	1	0	0	0.75	0.25	0.25	0.5	0	0.25	0.25	0	0.25	0.25	1	0.5	0	1	0	0.5	1	0.25	0.25	0	NA	0
Tmem79	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.5	0.25	0	0	0	0.25	0	0	0	0.25	0	0	0.5	0.5	0	0.25	0.25	0	0.5	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0	0.25	0.25	0	0.25
Kank4	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.25	0.25	0.25	0	0	0	0.25	0	0	0	0	1	0.25	0.25	0	0	0	0.25	0	0.25	0	0.25	0.75	0.25	0	0	0.25	0	0.25	0.75	0.5	0.25	0	0
Kank2	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0.5	0	0	0	0.5	0	0	0	0.25	0.25	0	0	0	0	0.75	0.5	0	0	0.25	0.5	0	0	0	0	0.25	0	0.25	0.25	0.25	0	0
Kank3	0	0.25	0	0	0	0	NA	0	0	NA	0.25	0	0	0	0	0.75	1	0	0	NA	0	0	0	NA	1	0	1	0.25	0	0	0	0.25	0.5	0.5	0	0.25	0.25	1	1	0.25	0	0	1	0.5	0.25	0.25	0.25	0	0
Kank1	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.75	0.25	0	0	0	0.25	0.75	0.25	0.25	0	0	0	1	0.75	0	0	0	0	0	0	0	0	0.75	0.25	0.25	0	0	0	0	0.25	0.25	0	0	0	0
Tmem70	NA	0.75	0	0	0	NA	NA	0	NA	NA	0	0	0	0	0	0	NA	NA	0	0	0	0.5	0.25	NA	0	0	0.25	0	0.5	0.25	NA	0	0	0	0	0	0	NA	0	0	0.25	0	0	0	0.25	0	0.25	0	0
Tmem71	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	0.5	NA	0	NA	NA	0	NA	0	NA	0.25	NA	NA	NA	NA	NA	1	1	NA	0.5	0.75	NA	NA	NA	0.75	NA	1	NA	NA	NA	1	0.75	1	1
Tmem72	0	0	0	0	0.25	0	NA	0	0	0.25	NA	0	0	NA	0.5	0.75	0.25	0.5	0.25	0	0.5	0	0.5	0	0.75	0.25	1	1	0.75	1	0.75	0.5	1	1	0.5	1	1	1	NA	0.75	0.75	0.75	NA	0.5	0.5	0.5	0.75	0	0
Tmem74	0	0	0.25	0.75	0.25	0.25	NA	NA	NA	NA	0	1	0	0	1	NA	1	0.25	0	NA	0.25	0	0	0	NA	0.25	1	0	NA	NA	NA	0	1	NA	NA	0	0	NA	NA	0	0	0	NA	1	1	NA	0.5	0	0
Ttc27	NA	0	0	NA	0.5	0.75	NA	NA	0	0	0	0	0.25	0	0.5	0.25	0	NA	NA	0	0	0	0	NA	0	0	1	0	NA	0.25	NA	0	NA	0	0.25	0	0	0	0.25	0	NA	NA	0	0.5	0.25	0	0.25	0	0.25
Arl5c	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0.5	0	0	0	0.25	0.25	NA	0.25	0	0	0	0	0.25	0	0.25	0.25	0.25	0.25	0.5	0.25	0.5	0.5	0.25	0.25	0.25	0	0
Col16a1	0	0.25	0.25	0	0	0	0	0.25	0	NA	0.75	0	0.25	0.5	1	NA	0.5	0.25	0.25	0.25	NA	0	0.25	0	0.25	0.25	0.25	0	0.5	0.5	0.25	0.25	0.25	0.5	0.5	0.75	0.25	0.5	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0
Arl5b	1	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	NA	1	0	NA	NA	0.25	1	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA
Junb	0	0	0	0.5	0.5	1	0	0.25	0	0	0	0.25	0.25	0	0	0	0	0	0.75	0	0.25	0	0.5	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	0.5
Jund	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.5	0	0.5	0.25	0	0	0.25	0.25	0	0	0	0.25	0	0	0	0.25	0	0	0
Sgol2	0	0.25	0	0	0	0.5	NA	0	0	0.25	0	0	0.25	0	NA	0	0	0	0	0	0	0.25	0	0	0.25	0.25	0.75	0.25	0.25	1	0	0	0	0.5	0.5	0	0	0.5	0	0.25	1	0	0.25	0.75	0.25	1	0.25	0.25	0
Mir301b	0.75	1	0.75	1	1	1	NA	1	0	1	1	NA	1	0.25	0	0	0	0.5	0	0	0	0	NA	0	0	0	0.25	NA	0.5	0	0	0	0	NA	0	0	0.25	NA	0	0.25	0	0	0.25	0.25	0	0	0.25	1	1
Nprl3	0	0	0.25	0	0	0	0	NA	0.25	0	0	0	0.25	0.25	1	0.25	0.25	0.25	0.25	0.25	0.25	1	0.25	0	1	0	0.25	0.25	0.25	0.5	0	0	0.25	0.75	0.75	1	0.25	0.75	0.5	0.25	0.25	0.25	0.5	0.5	0.25	0.25	0.25	0	0
Nprl2	0.75	0.5	0.5	0.5	0.25	0.5	0.25	0.75	1	1	0.25	0.25	0.5	0	NA	0.25	0	0	0	0.25	NA	0	0.5	0.25	0	0	0.25	1	0.25	0.25	0.25	0	0.25	0.75	0.5	0.25	0.25	0.5	NA	0.25	NA	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5
Ermp1	0	0	0	0	0.25	0	1	0	0	0	0.25	0	0	0.25	1	0.25	0.25	1	0.25	0.25	0.75	0.75	0	0.25	0	0	0.75	0	0.25	0	0	0	1	0.75	0.5	0	0.25	0	0.25	0.25	0.75	0.25	1	0.25	0.25	0.25	0	0	0
Col19a1	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0.25	NA	0	0	0	0	0	0	NA	0	0	0.25	0	0	NA	0	0.25	0	NA	0	0.5	0	NA	0	0.25	0.25	0	NA	0	0.25	1	0.25	0	0
Gm10220	0	0.25	0.25	0	0	0	NA	0.25	0	0	0	0	0	0.25	0.5	0.5	0.25	0.25	0.25	0.25	0	0.25	0	1	0.25	0.25	0.75	0.5	0.5	0.75	0.25	0.25	0.75	1	0.5	0.75	0.75	NA	0.5	0.5	0.5	0.5	0.5	0.5	0.75	0.5	0.5	0	0.25
Kansl1l	0	0	0	0	0	0	0	0	0	0	0.75	0.75	0	0.75	0.5	1	0.25	0	0	0	0	0	0.5	0	NA	0	0.25	0	0	0	0	0	0.5	NA	0	0	0	1	0	0	0.25	0.25	0	0.25	0	0.25	0	0	0
Gm10228	NA	0.5	0	0.25	NA	0.75	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	0.5	NA	NA	NA	1	NA	0	0.25	0.75	NA	0	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.5	0.75	0.25
Gm10229	NA	1	0	NA	0	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA	0.75	0	NA	NA	NA	0.5	NA	NA	NA	0.5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	1	1	NA	0.75	0.75	0.25
1810034E14Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spem1	0	0	0	0	0	0	NA	0	0	NA	0	NA	0	1	0.75	NA	0	0.75	0	0.75	0	0	0.5	1	0.25	0.5	NA	NA	1	1	1	0.25	NA	1	0.75	1	1	0.75	0	0.75	0.75	0.75	0.75	0.75	1	1	0.75	0	0
Uaca	0	0	0	0	0	0.25	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	NA	1	0.25	0	0	0	0.25	0	0	NA	0	0	0.25	0	0.5	0	0	0	0	0	0.25	0	0
Rlim	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	NA	0	0	NA	0	0	NA	NA	0.75	0	NA	NA	0	0	0	NA	NA	NA	0	NA	0	NA	0.25	0	0	0	0	0.75	NA	NA	0	0	0
Gcc2	0	0	0.25	0	0	0	0	NA	0	0.25	0	0.75	0.25	0.5	NA	0.25	0	0.75	0.5	0	NA	0	0.75	0.25	0.75	0	0.5	0.5	NA	0.75	0	0	0	0	0	0.25	NA	0.5	0.75	0.25	0.5	0.25	0.75	0.5	0.25	0	0.25	0	0
Gcc1	NA	1	0.75	0.75	0.5	1	NA	NA	1	NA	NA	1	0.75	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.75	0	0	0.25	0	0	0.5	0	0.25	0.25	0.25	NA	0	0.25	0	0.25	0.25	0.25	0.5	0.25	0.25	0.75	0.25
Psmf1	0	0	0.25	0	0	0.75	0	NA	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	NA	0	0	0	0.25	0	0	0	0	0	0.25	NA	0	0	0.25	0	0.5	0	0.25	0	0.25	0.25	0.25	0	0.25	0	0.25
Stau1	0	0	0.25	0	0	0	0.5	0.25	0.75	0.5	0.75	0	0.25	0.5	0.5	0.75	0.25	0.25	0.25	0.75	0.25	0.25	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0.25	0	0.25	0.75	0.5	0.25	0	0.5	0.5	0.25	0.5	0.25	0.25	0.25	0
Itsn1	0	0	0	0	0	0.5	0.75	0	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0.5	0.25	0	0	0.75	0	0	0	0	0	0	0	1	0.25	0	0	0.25	0	0	0.25	0.25	0	0	0.25	0	0.25	0	0.25	0	0	0	0
Itsn2	NA	0	0	0	0	0.75	0	0	0.25	0	NA	0.5	0	0	0	0.25	0	0	0.25	0	0	0.25	0.25	0	0	0	NA	0	0	0	0	0	NA	0.25	0	0	0.25	0	0	0	0	0	0.25	0	0	0.25	0	0	0
Mir130c	1	0	0	NA	0.25	0	NA	NA	0	0	0	0	0	NA	0	NA	0	0	NA	0	0	0	0	NA	NA	0.25	NA	0.75	0.25	0.75	0.5	0	1	0	0.5	0.25	NA	0.25	0	0.75	0.25	0	0	1	0.75	0	0.5	0	0
Olfr576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0.25	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	1	NA	NA	NA	0	0.75	0	NA
Mir130a	0	0.25	0.25	0	0	0	0	NA	0	0.25	0.25	0.25	0	0.25	0	0	0.25	0.25	0.25	0.25	0.5	0.5	0.25	NA	0	0	0.25	0.25	0.25	0.25	0	0	0.5	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.5	0	0.75	0.25	0	0
AU023762	NA	1	1	1	1	1	NA	1	NA	1	NA	1	1	0	NA	NA	0.5	NA	0	NA	0	0	0.25	NA	0	0.25	0.75	NA	0.5	NA	0.75	0	NA	1	0.75	1	0.25	NA	NA	0.75	1	0.25	NA	1	1	0.5	0.75	1	1
Spcs1	0	0	0	1	0	0.25	0.5	0	0	0	NA	0	0.25	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0.25	0	0	0.5	0	0	0	0	0.25	0	0	0.25	0	0
Spcs3	0	0	0	NA	0	0	NA	0	0	NA	NA	0	0	0	NA	0	0	0	0.5	0	0	0	0	NA	0	0	0.25	0	NA	0	0.25	NA	0	0	NA	0	0	0.5	0	0	0	0	0	0	0	0.25	0	0	0
Mir1306	1	1	1	1	NA	1	NA	NA	NA	NA	NA	1	1	NA	0.25	1	0	NA	NA	0.5	0	0.25	0	0.5	0.75	0.25	1	1	1	0.75	NA	0.5	1	NA	0.5	1	1	1	NA	1	1	0.75	0.75	NA	NA	1	0.75	1	1
Gtf2h3	0	0.5	0.25	NA	0.25	0	NA	0	1	0	0	1	0.25	0.5	0.5	0	NA	0	0	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0	1	0.25	0	0.25	NA	0.25	NA	0	0	0	0	0	0.25	0.25	0.25	0.5	0.25
Gtf2h2	0.25	0	0	1	0	0	0.25	0.25	0	0.5	NA	0	0.25	0.25	0.5	0.25	0	0.25	0	0	0	0	0.25	0	0.25	0	0.25	0.25	NA	0	0	0	0.25	0	0.25	0	0.25	1	0.75	0.25	0.25	0.25	0.75	0.5	1	0.75	0.25	0	0
Gtf2h1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	1
Gtf2h4	1	0.25	0.25	0	1	0.25	NA	0	0	0	NA	0	0.25	0.25	0.25	0.25	0.25	NA	NA	0	0.25	0	0.5	0	0	0	NA	0.25	0	0	NA	0	1	1	0.5	0.25	0.25	NA	0	0.75	0.25	0.25	0.75	0.5	0	0.25	0.25	0.25	0.25
Rspry1	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	NA	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0
D14Ertd670e	1	0.25	0.5	NA	1	0.5	1	1	NA	0	NA	NA	0.75	0	NA	0.25	1	0.25	0.5	0.5	0	0.25	0.25	0	0	0.25	0.75	0.25	0.5	1	NA	0.25	1	1	0.5	0.5	1	0.75	0.25	0.5	1	0.5	0.25	1	0.5	0	0.5	0.5	0.75
Tpbg	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0.25	1	0.5	0	0	0.25	0.75	0	0.25	0.25	0	0	0
B230216G23Rik	0	0	0	NA	0	0	NA	0	0	0	0	NA	0	0	0	0.5	0.25	0.25	0	NA	0	NA	0.25	0.25	0.25	0.25	NA	0	NA	0.5	0.75	0	0.25	1	0	0	0.75	0.25	0.25	0.75	0.25	0.25	1	0	0	0.5	0.5	0	0
Klre1	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0.25	NA	1	1	NA	NA	NA	NA	0	NA	NA	NA	NA	0	1	NA	0	1	NA	NA	NA	NA	NA	NA	1	1	NA	0.5	0	1	0	NA	NA	NA	0.75	0	0
Minpp1	0	0	0	0	0	0.25	1	0	0	0	1	0	0	0	1	0.5	0	0	0	0.25	0	0	0.5	0	0	0	1	1	0	0	0.25	0.75	0	0.25	0	0	0.25	0.5	1	0	0	0	1	0.25	0	0	0	0	0
Ptgfrn	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.25	1	0	0	0.25	0	0	0.25	0	0.25	0	0	0
Troap	NA	0.25	0	0	0	0	0	0	0	0	NA	0	0.25	0.25	NA	0.25	0	0	0	0	0	0	0	0	0.5	0	0	NA	0.25	0	0	0	NA	0	0	0.25	0	0.25	NA	0.25	0.25	0	0.25	0	0	0	0.25	0.25	0.25
Tbxas1	0	0	0	0	0	0	NA	0	0	0	0	0.25	0.25	NA	NA	1	0.5	0.25	0.5	0.5	0.5	NA	0.75	NA	NA	0.5	1	1	0.75	1	0.75	0.25	1	1	0.75	1	1	1	1	0.75	0.75	0.5	1	1	0.75	0.5	0.75	0	0
Evi5	0	0	0.25	NA	0	0	NA	0	NA	NA	NA	0	0.25	NA	0	1	0	NA	0.25	NA	1	NA	NA	1	0.5	0.5	NA	0	NA	0.75	NA	0	NA	NA	NA	NA	NA	0	1	0.75	1	NA	0.5	1	0.5	NA	0.75	0.5	0.25
1190002F15Rik	0	0	0	0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	NA	0.25	0	0	0	0.25	0	0	0	0	0	0.25	0	0.5	0.25	0.25	0.25	0.25	NA	0	0	0
9230112J17Rik	0	0	0	0	0	0	0	NA	NA	0	NA	NA	0	NA	NA	0.5	0.25	NA	0	1	0	NA	1	0	0	0.25	NA	0.75	0	NA	1	0.5	NA	1	0.5	NA	NA	NA	NA	1	NA	NA	1	NA	1	1	0.75	0	0
Brms1	0.25	0	0	0	0.25	0	0.25	0	0.25	0	0	0.25	0	0	0	0.25	0	0.25	0	0	0	0	0	0.25	0.25	0	0.25	0.5	0.25	0	0	0	0.5	0	0.25	0.25	0	0.25	0	0	0.25	0.25	0.25	0.25	0.5	0.5	0.25	0	0.25
Zfp637	0	0	0	NA	0.5	0	1	0	0	0.5	0.5	0.25	0	0	0.5	0.25	0.25	0.75	0.25	0.25	0	0.25	0	0.25	0.25	0	0.5	0.25	0.5	0	0.75	0	0.25	0.25	0.25	0.5	0.75	0.75	0	0	0.25	0.25	0	0	0.75	0	0.25	0	0
Vapa	0	0	0	0	0	0	0.25	0	0	0	0.25	0.25	0	0	0.25	0	0.5	0.75	0.25	0.25	0	0.25	0	0.75	0.75	0	0	0.5	0	0	0	0	0	0.25	0.25	0.25	0.5	0.25	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0
Sfxn4	NA	0	NA	NA	1	0	1	NA	0	NA	0.5	0	0	NA	NA	0	0.5	NA	NA	0	NA	0	NA	NA	NA	0	0.75	0	NA	NA	NA	0	1	0.25	0	0	NA	NA	NA	0.25	NA	1	0.75	0.5	1	0	0.25	0	0
Bsnd	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0.25	0.25	NA	0.75	0.5	0.5	0.25	0.25	0.25	0.25	0.5	1	0.75	0.25	0.75	1	1	0.75	1	NA	0.75	NA	1	1	1	0.5	0.75	0.5	1	0.75	1	1	0.75	1	0.75	0	0
Sfxn2	0.25	0.25	0.25	0	0.25	0	0.5	0.25	0.25	0.25	0.75	0	0	0	0.5	0	0	0.25	0.75	0.25	0.25	0.5	0	0	0.25	0	0.25	0.25	0	0	0.25	0	0.5	0.25	0	0	0.5	0.25	0.25	0	0.25	0.5	0.25	0.5	0	0	0.25	0.25	0.25
Sfxn3	0	0	0	0	0	0.25	0.5	0	0.25	0	0	0	0	0.25	0.5	0.25	0.25	0.25	0	0.25	0.25	0.25	0.25	0	0	0	0.5	0.25	0.25	0.25	0.5	0	0.5	0.25	0	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0	0
Sfxn1	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	NA	0	0	0.25	NA	0	0.25	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0.25	0	0	0.5	0	0	0	0.25	0.25	0	0
Miip	0.25	0.25	0.25	0	0	0.25	NA	NA	0	NA	0.25	NA	0.25	0.25	NA	0	NA	1	0.25	NA	0.75	NA	1	NA	0.25	0.5	1	NA	1	0.25	NA	0.5	0.75	0.5	0	0	0.75	1	NA	0.75	0.75	0.5	0.5	0.5	0.5	1	0.5	0.25	0
Clns1a	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0.25	0.25	0	0	NA	0	0	0	NA	0	0	0	0	0	NA	0.25	0	0	NA	0	0	NA	0	0	0	0	0	0.5	NA	NA	0.25	0	0	0
St6gal1	0.25	0	0	0	0	0	1	0.25	0	1	0	1	0.25	0	0	0.25	0	0.25	0.25	0	0	0.25	0.25	0.25	0	0.25	0.5	0.25	0.25	NA	0	0.5	0.75	0.25	0	0.25	0.5	0	0	0	0	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25
4933417D19Rik	1	1	1	NA	1	1	0.5	1	1	1	1	1	1	0.25	0.5	0.5	0	0.75	0	0.5	0	0.25	NA	0	0.25	0.25	1	NA	0.5	1	1	0	1	NA	0.75	0.75	NA	0.5	0.75	1	0	0.25	0.75	0.75	1	1	0.75	1	1
Snapin	0.25	0	0.5	0	0.5	1	NA	0	1	1	1	1	0.25	0	0.5	0.75	0	1	0.25	0.75	0	0.25	1	0.25	1	0	1	0.25	0.5	0	0	0	1	0	0.75	0.25	0.25	1	0.75	0.25	0.5	0.25	1	0.25	0	0.25	0.25	0	0
Mir511	1	NA	1	NA	0.5	NA	NA	NA	1	NA	NA	NA	0.75	0.5	0.5	1	NA	0.75	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	0	NA	0.5	NA	NA	NA	1	NA	NA	NA	NA	0.5	NA	NA	0.5	NA	NA	NA	0.5	NA	0.75
3110009F21Rik	0	0	0	0	0	0	NA	NA	0	0	NA	0	0	1	1	NA	0.25	0.5	0	0.75	0	0.25	0.25	0	0	0.5	1	0.75	0.25	0.75	1	NA	0.5	1	1	1	1	0.75	0.75	1	1	0.5	1	1	NA	NA	0.75	0	0
2010010A06Rik	0.25	0.5	0.5	NA	0.75	1	0.5	0	0.5	0.25	0.5	0.5	0.5	0.5	NA	0.5	0.25	0.25	0	0.5	0	0.25	0	0	0.75	0.25	1	0.75	0.5	0.5	0.75	0	0.75	1	0.5	0.75	0.75	0.75	0	0.5	0	0.5	0.5	0.5	0.25	0.25	0.5	0.5	0.75
Afg3l2	0	0	0	0	0	0	NA	0	0	0	0	0.75	0	0	0	0	0	0	0	0.25	0	0	1	0	0.5	0	0.25	0.5	0.75	0	0	0	1	1	0	0.75	0	1	0	0	0	0	0.25	0.75	0	0	0.25	0	0.25
Havcr1	0.25	0.25	1	NA	1	0.75	NA	NA	0.5	NA	1	0.75	0.5	NA	0	0.5	NA	1	0	NA	0	1	0.5	0.75	1	0.25	NA	0.5	0.25	1	0.75	1	1	1	0.75	1	1	NA	1	1	1	NA	NA	NA	NA	0.75	0.75	0.25	0.5
Havcr2	0	0	0.25	0	0	0	NA	NA	0	0	NA	0	0.25	NA	NA	0	0	0.5	0	NA	1	NA	NA	0	0	0.25	0.75	0	NA	0.5	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	0.75	NA	1	0	1	0.5	0	0
Oard1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0.75	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0
Pdrg1	0	0	0.25	0	0	0	NA	0.25	0	0	NA	0.25	0.25	0	0	0.25	0	0.25	0	0.25	0.5	0	0	1	0	0	0	0	0	0.25	0	0	0.25	0.75	0	0.25	0.25	0.75	1	0.25	1	0	0.25	0.25	0	0.75	0.25	0	0
Pdyn	0	0	0.25	0.25	0	0	0	0.25	0.5	0	0.5	0.25	0	1	0.5	0.5	0.5	0.5	0.25	0.75	1	0.75	0.5	0.75	0.25	0.25	1	0.5	0.5	1	1	0	0.75	0.5	0.5	0.75	0.75	0.5	0.75	0.75	0.5	0.25	0.75	0.75	0.5	0.75	0.5	0	0
Urm1	0.25	0	0.25	NA	0	0	NA	0	0.25	0	NA	0.25	0.25	0.5	0	0	0.25	1	0.25	0	0	0.5	0	0	1	0	0	0.25	0	0	1	0	0.25	0	0.25	0	1	1	0	0	0.25	0	0.25	0.5	0.25	0	0	0	0
Rap1b	0.25	0	0	0.25	0	0	NA	NA	0	0	0	0	0	0	0	0	0.75	0	0	0	0.25	0	0	0	0	0	1	0	0	0	0	0	NA	0	0	0	0	0.25	0.5	0	0	0	0.5	0	0.75	0.25	0	0	0
Rap1a	0	0	0.25	0.5	0	0	0.5	0.5	1	0.5	0	0.5	0	0	1	0.5	0.5	0.5	0.25	0.75	0	0	0.5	0.5	0.25	0	0	0.5	0.25	0.5	0.25	0	0.5	0.5	0	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.5	0.5	0.5	0.5	0.25	0	0
Satb2	0.75	0.5	0	0	0	0	0	0	0	1	0.5	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.75	0.5	0	0	0	0	0	0	0	0	0.25	0.25
Satb1	0	0.25	0.25	0.25	0	0.75	0.5	0.25	0	0.25	0.25	0.5	0.25	0.25	0	0.25	0.25	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.25
Hkdc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0.75	0	0	0.5	0	0.25	0.25	0.5	0.75	0.25	0.5	0.5	0.25	0	0.5	0.25	0.5	0.75	0.5	0	0.5	0.5	0.5	0.75	0.75	0	0.5	0.75	0	0
Rassf5	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0.75	0	0	1	0	0	0	0.25	0.5	0.25	0	0.25	0	0.75	0.25	0	0	0	0.25	0	0	0	0	0.5	0.25	0.25	0	0.25	0	0
4833420G17Rik	0	0	0.25	NA	0.25	0	NA	NA	0	NA	0	NA	0	0	0	1	0	0.5	NA	0.25	0	1	0.75	0	0	0	0.25	NA	0.5	1	0	0	0	NA	NA	0	0	0	0	NA	NA	NA	0	NA	0	0.75	0.25	0	0.25
